Format Version,1.22,Take Name,Take 2023-08-14 03.50.08 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 18:31:34 +0200,Total Frames in Take,401,Total Exported Frames,401,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
261,2.175000,0.826907,-0.125398,0.172560,0.520310,2.285933,1.671837,2.778525
262,2.183333,0.816315,-0.123400,0.178820,0.535188,2.286212,1.661235,2.773123
263,2.191667,0.805425,-0.120892,0.183888,0.550328,2.286497,1.650027,2.767747
264,2.200000,0.794435,-0.117940,0.187087,0.565651,2.286788,1.638224,2.762444
265,2.208333,0.783443,-0.114593,0.188231,0.581081,2.287064,1.625821,2.757246
266,2.216667,0.772694,-0.110419,0.187595,0.596289,2.287309,1.612843,2.752196
267,2.225000,0.761890,-0.105776,0.185801,0.611403,2.287472,1.599293,2.747351
268,2.233333,0.749999,-0.101409,0.183439,0.627350,2.287529,1.585133,2.742681
269,2.241667,0.736585,-0.097117,0.181483,0.644263,2.287463,1.570393,2.738233
270,2.250000,0.721879,-0.092721,0.180662,0.661554,2.287277,1.555067,2.733994
271,2.258333,0.705573,-0.088162,0.181585,0.679280,2.286985,1.539161,2.730000
272,2.266667,0.688404,-0.082643,0.183921,0.696738,2.286550,1.522709,2.726326
