Format Version,1.22,Take Name,Take 2023-08-14 03.16.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 17:57:55 +0200,Total Frames in Take,301,Total Exported Frames,301,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
208,1.733333,-0.213444,0.368428,0.236122,0.873469,1.982960,1.020718,2.960786
209,1.741667,-0.215839,0.365394,0.230854,0.875561,1.984878,1.020144,2.959985
210,1.750000,-0.217767,0.362337,0.225447,0.877760,1.986768,1.019565,2.959285
211,1.758333,-0.219515,0.359328,0.220090,0.879919,1.988605,1.018988,2.958679
212,1.766667,-0.221221,0.356412,0.215120,0.881904,1.990368,1.018411,2.958172
213,1.775000,-0.222620,0.353751,0.210504,0.883736,1.992018,1.017838,2.957744
214,1.783333,-0.224043,0.351299,0.206473,0.885304,1.993571,1.017274,2.957405
215,1.791667,-0.225698,0.348955,0.202984,0.886616,1.995048,1.016710,2.957135
216,1.800000,-0.227603,0.346847,0.200103,0.887611,1.996390,1.016141,2.956916
217,1.808333,-0.229539,0.344769,0.197848,0.888427,1.997667,1.015558,2.956776
218,1.816667,-0.231227,0.342695,0.195763,0.889253,1.998896,1.014977,2.956718
219,1.825000,-0.232964,0.340819,0.194110,0.889883,2.000032,1.014407,2.956742
220,1.833333,-0.234270,0.339150,0.192326,0.890565,2.001107,1.013860,2.956860
221,1.841667,-0.235061,0.337721,0.190332,0.891328,2.002125,1.013351,2.957068
222,1.850000,-0.235540,0.336570,0.188292,0.892069,2.003081,1.012885,2.957356
223,1.858333,-0.235448,0.335501,0.185900,0.892998,2.003983,1.012462,2.957716
224,1.866667,-0.235041,0.334598,0.183415,0.893957,2.004818,1.012070,2.958113
225,1.875000,-0.234572,0.333841,0.180926,0.894870,2.005616,1.011700,2.958567
226,1.883333,-0.234014,0.333200,0.178381,0.895765,2.006373,1.011345,2.959058
