Format Version,1.22,Take Name,Take 2023-07-13 11.16.48 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,16 Jan 1970 07:01:01 +0200,Total Frames in Take,1355,Total Exported Frames,1355,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate,Rigid plate
,,"11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E","11280D71FD611EE8A984076B0403C8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
231,1.925000,0.016564,-0.066913,0.006100,-0.997603,1.685401,0.609236,0.599455
232,1.933333,0.016931,-0.067024,0.006394,-0.997587,1.685389,0.609214,0.599451
233,1.941667,0.017192,-0.067140,0.006661,-0.997573,1.685378,0.609191,0.599445
234,1.950000,0.016822,-0.067027,0.006501,-0.997588,1.685372,0.609185,0.599435
235,1.958333,0.016460,-0.066918,0.006333,-0.997603,1.685370,0.609180,0.599432
236,1.966667,0.016851,-0.067077,0.006552,-0.997584,1.685365,0.609163,0.599426
237,1.975000,0.016790,-0.067138,0.006466,-0.997581,1.685376,0.609172,0.599414
238,1.983333,0.017100,-0.067231,0.006606,-0.997569,1.685369,0.609155,0.599411
239,1.991667,0.016958,-0.067209,0.006438,-0.997574,1.685381,0.609164,0.599399
240,2.000000,0.017258,-0.067247,0.006587,-0.997565,1.685373,0.609148,0.599397
241,2.008333,0.017556,-0.067302,0.006754,-0.997555,1.685367,0.609131,0.599395
242,2.016667,0.017582,-0.067258,0.006841,-0.997557,1.685353,0.609109,0.599406
243,2.025000,0.017142,-0.067109,0.006580,-0.997577,1.685352,0.609114,0.599407
244,2.033333,0.016752,-0.066972,0.006331,-0.997594,1.685353,0.609118,0.599404
245,2.041667,0.017028,-0.067033,0.006432,-0.997585,1.685358,0.609112,0.599404
246,2.050000,0.016964,-0.067013,0.006260,-0.997588,1.685375,0.609129,0.599399
247,2.058333,0.016839,-0.066963,0.006040,-0.997595,1.685388,0.609143,0.599393
248,2.066667,0.016672,-0.066816,0.005871,-0.997609,1.685380,0.609137,0.599391
